number,text,numberInSurah,surah_number,surah_name,englishName,englishNameTranslation,revelationType,UrduTranslation,UrduTafseer,EnglishTranslation,Englishtafseer,SindhiTranslation,SindhiTafseer,HindiTranslation,HindiTafseer,PushtoTransation,PushtoTafseer
1285,إِن تُصِبْكَ حَسَنَةٌۭ تَسُؤْهُمْ ۖ وَإِن تُصِبْكَ مُصِيبَةٌۭ يَقُولُوا۟ قَدْ أَخَذْنَآ أَمْرَنَا مِن قَبْلُ وَيَتَوَلَّوا۟ وَّهُمْ فَرِحُونَ,50,9,سُورَةُ التَّوۡبَةِ,At-Tawba,The Repentance,Medinan,9-50- Urdu Translation: ,9-50- Urdu Tafseer: ,9-50- English Translation: ,9-50- English Tafseer: ,9-50- Sindhi Translation: ,9-50- Sindhi Tafseer:,9-50- Hindi Translation: ,9-50- Hindi Tafseer: ,9-50- Pushto Translation: ,9-50- Pushto Tafseer: 
1286,قُل لَّن يُصِيبَنَآ إِلَّا مَا كَتَبَ ٱللَّهُ لَنَا هُوَ مَوْلَىٰنَا ۚ وَعَلَى ٱللَّهِ فَلْيَتَوَكَّلِ ٱلْمُؤْمِنُونَ,51,9,سُورَةُ التَّوۡبَةِ,At-Tawba,The Repentance,Medinan,9-51- Urdu Translation: ,9-51- Urdu Tafseer: ,9-51- English Translation: ,9-51- English Tafseer: ,9-51- Sindhi Translation: ,9-51- Sindhi Tafseer:,9-51- Hindi Translation: ,9-51- Hindi Tafseer: ,9-51- Pushto Translation: ,9-51- Pushto Tafseer: 
1287,قُلْ هَلْ تَرَبَّصُونَ بِنَآ إِلَّآ إِحْدَى ٱلْحُسْنَيَيْنِ ۖ وَنَحْنُ نَتَرَبَّصُ بِكُمْ أَن يُصِيبَكُمُ ٱللَّهُ بِعَذَابٍۢ مِّنْ عِندِهِۦٓ أَوْ بِأَيْدِينَا ۖ فَتَرَبَّصُوٓا۟ إِنَّا مَعَكُم مُّتَرَبِّصُونَ,52,9,سُورَةُ التَّوۡبَةِ,At-Tawba,The Repentance,Medinan,9-52- Urdu Translation: ,9-52- Urdu Tafseer: ,9-52- English Translation: ,9-52- English Tafseer: ,9-52- Sindhi Translation: ,9-52- Sindhi Tafseer:,9-52- Hindi Translation: ,9-52- Hindi Tafseer: ,9-52- Pushto Translation: ,9-52- Pushto Tafseer: 
1288,قُلْ أَنفِقُوا۟ طَوْعًا أَوْ كَرْهًۭا لَّن يُتَقَبَّلَ مِنكُمْ ۖ إِنَّكُمْ كُنتُمْ قَوْمًۭا فَٰسِقِينَ,53,9,سُورَةُ التَّوۡبَةِ,At-Tawba,The Repentance,Medinan,9-53- Urdu Translation: ,9-53- Urdu Tafseer: ,9-53- English Translation: ,9-53- English Tafseer: ,9-53- Sindhi Translation: ,9-53- Sindhi Tafseer:,9-53- Hindi Translation: ,9-53- Hindi Tafseer: ,9-53- Pushto Translation: ,9-53- Pushto Tafseer: 
1289,وَمَا مَنَعَهُمْ أَن تُقْبَلَ مِنْهُمْ نَفَقَٰتُهُمْ إِلَّآ أَنَّهُمْ كَفَرُوا۟ بِٱللَّهِ وَبِرَسُولِهِۦ وَلَا يَأْتُونَ ٱلصَّلَوٰةَ إِلَّا وَهُمْ كُسَالَىٰ وَلَا يُنفِقُونَ إِلَّا وَهُمْ كَٰرِهُونَ,54,9,سُورَةُ التَّوۡبَةِ,At-Tawba,The Repentance,Medinan,9-54- Urdu Translation: ,9-54- Urdu Tafseer: ,9-54- English Translation: ,9-54- English Tafseer: ,9-54- Sindhi Translation: ,9-54- Sindhi Tafseer:,9-54- Hindi Translation: ,9-54- Hindi Tafseer: ,9-54- Pushto Translation: ,9-54- Pushto Tafseer: 
1290,فَلَا تُعْجِبْكَ أَمْوَٰلُهُمْ وَلَآ أَوْلَٰدُهُمْ ۚ إِنَّمَا يُرِيدُ ٱللَّهُ لِيُعَذِّبَهُم بِهَا فِى ٱلْحَيَوٰةِ ٱلدُّنْيَا وَتَزْهَقَ أَنفُسُهُمْ وَهُمْ كَٰفِرُونَ,55,9,سُورَةُ التَّوۡبَةِ,At-Tawba,The Repentance,Medinan,9-55- Urdu Translation: ,9-55- Urdu Tafseer: ,9-55- English Translation: ,9-55- English Tafseer: ,9-55- Sindhi Translation: ,9-55- Sindhi Tafseer:,9-55- Hindi Translation: ,9-55- Hindi Tafseer: ,9-55- Pushto Translation: ,9-55- Pushto Tafseer: 
1291,وَيَحْلِفُونَ بِٱللَّهِ إِنَّهُمْ لَمِنكُمْ وَمَا هُم مِّنكُمْ وَلَٰكِنَّهُمْ قَوْمٌۭ يَفْرَقُونَ,56,9,سُورَةُ التَّوۡبَةِ,At-Tawba,The Repentance,Medinan,9-56- Urdu Translation: ,9-56- Urdu Tafseer: ,9-56- English Translation: ,9-56- English Tafseer: ,9-56- Sindhi Translation: ,9-56- Sindhi Tafseer:,9-56- Hindi Translation: ,9-56- Hindi Tafseer: ,9-56- Pushto Translation: ,9-56- Pushto Tafseer: 
1292,لَوْ يَجِدُونَ مَلْجَـًٔا أَوْ مَغَٰرَٰتٍ أَوْ مُدَّخَلًۭا لَّوَلَّوْا۟ إِلَيْهِ وَهُمْ يَجْمَحُونَ,57,9,سُورَةُ التَّوۡبَةِ,At-Tawba,The Repentance,Medinan,9-57- Urdu Translation: ,9-57- Urdu Tafseer: ,9-57- English Translation: ,9-57- English Tafseer: ,9-57- Sindhi Translation: ,9-57- Sindhi Tafseer:,9-57- Hindi Translation: ,9-57- Hindi Tafseer: ,9-57- Pushto Translation: ,9-57- Pushto Tafseer: 
1293,وَمِنْهُم مَّن يَلْمِزُكَ فِى ٱلصَّدَقَٰتِ فَإِنْ أُعْطُوا۟ مِنْهَا رَضُوا۟ وَإِن لَّمْ يُعْطَوْا۟ مِنْهَآ إِذَا هُمْ يَسْخَطُونَ,58,9,سُورَةُ التَّوۡبَةِ,At-Tawba,The Repentance,Medinan,9-58- Urdu Translation: ,9-58- Urdu Tafseer: ,9-58- English Translation: ,9-58- English Tafseer: ,9-58- Sindhi Translation: ,9-58- Sindhi Tafseer:,9-58- Hindi Translation: ,9-58- Hindi Tafseer: ,9-58- Pushto Translation: ,9-58- Pushto Tafseer: 
1294,وَلَوْ أَنَّهُمْ رَضُوا۟ مَآ ءَاتَىٰهُمُ ٱللَّهُ وَرَسُولُهُۥ وَقَالُوا۟ حَسْبُنَا ٱللَّهُ سَيُؤْتِينَا ٱللَّهُ مِن فَضْلِهِۦ وَرَسُولُهُۥٓ إِنَّآ إِلَى ٱللَّهِ رَٰغِبُونَ,59,9,سُورَةُ التَّوۡبَةِ,At-Tawba,The Repentance,Medinan,9-59- Urdu Translation: ,9-59- Urdu Tafseer: ,9-59- English Translation: ,9-59- English Tafseer: ,9-59- Sindhi Translation: ,9-59- Sindhi Tafseer:,9-59- Hindi Translation: ,9-59- Hindi Tafseer: ,9-59- Pushto Translation: ,9-59- Pushto Tafseer: 
1295,۞ إِنَّمَا ٱلصَّدَقَٰتُ لِلْفُقَرَآءِ وَٱلْمَسَٰكِينِ وَٱلْعَٰمِلِينَ عَلَيْهَا وَٱلْمُؤَلَّفَةِ قُلُوبُهُمْ وَفِى ٱلرِّقَابِ وَٱلْغَٰرِمِينَ وَفِى سَبِيلِ ٱللَّهِ وَٱبْنِ ٱلسَّبِيلِ ۖ فَرِيضَةًۭ مِّنَ ٱللَّهِ ۗ وَٱللَّهُ عَلِيمٌ حَكِيمٌۭ,60,9,سُورَةُ التَّوۡبَةِ,At-Tawba,The Repentance,Medinan,9-60- Urdu Translation: ,9-60- Urdu Tafseer: ,9-60- English Translation: ,9-60- English Tafseer: ,9-60- Sindhi Translation: ,9-60- Sindhi Tafseer:,9-60- Hindi Translation: ,9-60- Hindi Tafseer: ,9-60- Pushto Translation: ,9-60- Pushto Tafseer: 
1296,وَمِنْهُمُ ٱلَّذِينَ يُؤْذُونَ ٱلنَّبِىَّ وَيَقُولُونَ هُوَ أُذُنٌۭ ۚ قُلْ أُذُنُ خَيْرٍۢ لَّكُمْ يُؤْمِنُ بِٱللَّهِ وَيُؤْمِنُ لِلْمُؤْمِنِينَ وَرَحْمَةٌۭ لِّلَّذِينَ ءَامَنُوا۟ مِنكُمْ ۚ وَٱلَّذِينَ يُؤْذُونَ رَسُولَ ٱللَّهِ لَهُمْ عَذَابٌ أَلِيمٌۭ,61,9,سُورَةُ التَّوۡبَةِ,At-Tawba,The Repentance,Medinan,9-61- Urdu Translation: ,9-61- Urdu Tafseer: ,9-61- English Translation: ,9-61- English Tafseer: ,9-61- Sindhi Translation: ,9-61- Sindhi Tafseer:,9-61- Hindi Translation: ,9-61- Hindi Tafseer: ,9-61- Pushto Translation: ,9-61- Pushto Tafseer: 
1297,يَحْلِفُونَ بِٱللَّهِ لَكُمْ لِيُرْضُوكُمْ وَٱللَّهُ وَرَسُولُهُۥٓ أَحَقُّ أَن يُرْضُوهُ إِن كَانُوا۟ مُؤْمِنِينَ,62,9,سُورَةُ التَّوۡبَةِ,At-Tawba,The Repentance,Medinan,9-62- Urdu Translation: ,9-62- Urdu Tafseer: ,9-62- English Translation: ,9-62- English Tafseer: ,9-62- Sindhi Translation: ,9-62- Sindhi Tafseer:,9-62- Hindi Translation: ,9-62- Hindi Tafseer: ,9-62- Pushto Translation: ,9-62- Pushto Tafseer: 
1298,أَلَمْ يَعْلَمُوٓا۟ أَنَّهُۥ مَن يُحَادِدِ ٱللَّهَ وَرَسُولَهُۥ فَأَنَّ لَهُۥ نَارَ جَهَنَّمَ خَٰلِدًۭا فِيهَا ۚ ذَٰلِكَ ٱلْخِزْىُ ٱلْعَظِيمُ,63,9,سُورَةُ التَّوۡبَةِ,At-Tawba,The Repentance,Medinan,9-63- Urdu Translation: ,9-63- Urdu Tafseer: ,9-63- English Translation: ,9-63- English Tafseer: ,9-63- Sindhi Translation: ,9-63- Sindhi Tafseer:,9-63- Hindi Translation: ,9-63- Hindi Tafseer: ,9-63- Pushto Translation: ,9-63- Pushto Tafseer: 
1299,يَحْذَرُ ٱلْمُنَٰفِقُونَ أَن تُنَزَّلَ عَلَيْهِمْ سُورَةٌۭ تُنَبِّئُهُم بِمَا فِى قُلُوبِهِمْ ۚ قُلِ ٱسْتَهْزِءُوٓا۟ إِنَّ ٱللَّهَ مُخْرِجٌۭ مَّا تَحْذَرُونَ,64,9,سُورَةُ التَّوۡبَةِ,At-Tawba,The Repentance,Medinan,9-64- Urdu Translation: ,9-64- Urdu Tafseer: ,9-64- English Translation: ,9-64- English Tafseer: ,9-64- Sindhi Translation: ,9-64- Sindhi Tafseer:,9-64- Hindi Translation: ,9-64- Hindi Tafseer: ,9-64- Pushto Translation: ,9-64- Pushto Tafseer: 
1300,وَلَئِن سَأَلْتَهُمْ لَيَقُولُنَّ إِنَّمَا كُنَّا نَخُوضُ وَنَلْعَبُ ۚ قُلْ أَبِٱللَّهِ وَءَايَٰتِهِۦ وَرَسُولِهِۦ كُنتُمْ تَسْتَهْزِءُونَ,65,9,سُورَةُ التَّوۡبَةِ,At-Tawba,The Repentance,Medinan,9-65- Urdu Translation: ,9-65- Urdu Tafseer: ,9-65- English Translation: ,9-65- English Tafseer: ,9-65- Sindhi Translation: ,9-65- Sindhi Tafseer:,9-65- Hindi Translation: ,9-65- Hindi Tafseer: ,9-65- Pushto Translation: ,9-65- Pushto Tafseer: 
1301,لَا تَعْتَذِرُوا۟ قَدْ كَفَرْتُم بَعْدَ إِيمَٰنِكُمْ ۚ إِن نَّعْفُ عَن طَآئِفَةٍۢ مِّنكُمْ نُعَذِّبْ طَآئِفَةًۢ بِأَنَّهُمْ كَانُوا۟ مُجْرِمِينَ,66,9,سُورَةُ التَّوۡبَةِ,At-Tawba,The Repentance,Medinan,9-66- Urdu Translation: ,9-66- Urdu Tafseer: ,9-66- English Translation: ,9-66- English Tafseer: ,9-66- Sindhi Translation: ,9-66- Sindhi Tafseer:,9-66- Hindi Translation: ,9-66- Hindi Tafseer: ,9-66- Pushto Translation: ,9-66- Pushto Tafseer: 
1302,ٱلْمُنَٰفِقُونَ وَٱلْمُنَٰفِقَٰتُ بَعْضُهُم مِّنۢ بَعْضٍۢ ۚ يَأْمُرُونَ بِٱلْمُنكَرِ وَيَنْهَوْنَ عَنِ ٱلْمَعْرُوفِ وَيَقْبِضُونَ أَيْدِيَهُمْ ۚ نَسُوا۟ ٱللَّهَ فَنَسِيَهُمْ ۗ إِنَّ ٱلْمُنَٰفِقِينَ هُمُ ٱلْفَٰسِقُونَ,67,9,سُورَةُ التَّوۡبَةِ,At-Tawba,The Repentance,Medinan,9-67- Urdu Translation: ,9-67- Urdu Tafseer: ,9-67- English Translation: ,9-67- English Tafseer: ,9-67- Sindhi Translation: ,9-67- Sindhi Tafseer:,9-67- Hindi Translation: ,9-67- Hindi Tafseer: ,9-67- Pushto Translation: ,9-67- Pushto Tafseer: 
1303,وَعَدَ ٱللَّهُ ٱلْمُنَٰفِقِينَ وَٱلْمُنَٰفِقَٰتِ وَٱلْكُفَّارَ نَارَ جَهَنَّمَ خَٰلِدِينَ فِيهَا ۚ هِىَ حَسْبُهُمْ ۚ وَلَعَنَهُمُ ٱللَّهُ ۖ وَلَهُمْ عَذَابٌۭ مُّقِيمٌۭ,68,9,سُورَةُ التَّوۡبَةِ,At-Tawba,The Repentance,Medinan,9-68- Urdu Translation: ,9-68- Urdu Tafseer: ,9-68- English Translation: ,9-68- English Tafseer: ,9-68- Sindhi Translation: ,9-68- Sindhi Tafseer:,9-68- Hindi Translation: ,9-68- Hindi Tafseer: ,9-68- Pushto Translation: ,9-68- Pushto Tafseer: 
1304,كَٱلَّذِينَ مِن قَبْلِكُمْ كَانُوٓا۟ أَشَدَّ مِنكُمْ قُوَّةًۭ وَأَكْثَرَ أَمْوَٰلًۭا وَأَوْلَٰدًۭا فَٱسْتَمْتَعُوا۟ بِخَلَٰقِهِمْ فَٱسْتَمْتَعْتُم بِخَلَٰقِكُمْ كَمَا ٱسْتَمْتَعَ ٱلَّذِينَ مِن قَبْلِكُم بِخَلَٰقِهِمْ وَخُضْتُمْ كَٱلَّذِى خَاضُوٓا۟ ۚ أُو۟لَٰٓئِكَ حَبِطَتْ أَعْمَٰلُهُمْ فِى ٱلدُّنْيَا وَٱلْءَاخِرَةِ ۖ وَأُو۟لَٰٓئِكَ هُمُ ٱلْخَٰسِرُونَ,69,9,سُورَةُ التَّوۡبَةِ,At-Tawba,The Repentance,Medinan,9-69- Urdu Translation: ,9-69- Urdu Tafseer: ,9-69- English Translation: ,9-69- English Tafseer: ,9-69- Sindhi Translation: ,9-69- Sindhi Tafseer:,9-69- Hindi Translation: ,9-69- Hindi Tafseer: ,9-69- Pushto Translation: ,9-69- Pushto Tafseer: 
1305,أَلَمْ يَأْتِهِمْ نَبَأُ ٱلَّذِينَ مِن قَبْلِهِمْ قَوْمِ نُوحٍۢ وَعَادٍۢ وَثَمُودَ وَقَوْمِ إِبْرَٰهِيمَ وَأَصْحَٰبِ مَدْيَنَ وَٱلْمُؤْتَفِكَٰتِ ۚ أَتَتْهُمْ رُسُلُهُم بِٱلْبَيِّنَٰتِ ۖ فَمَا كَانَ ٱللَّهُ لِيَظْلِمَهُمْ وَلَٰكِن كَانُوٓا۟ أَنفُسَهُمْ يَظْلِمُونَ,70,9,سُورَةُ التَّوۡبَةِ,At-Tawba,The Repentance,Medinan,9-70- Urdu Translation: ,9-70- Urdu Tafseer: ,9-70- English Translation: ,9-70- English Tafseer: ,9-70- Sindhi Translation: ,9-70- Sindhi Tafseer:,9-70- Hindi Translation: ,9-70- Hindi Tafseer: ,9-70- Pushto Translation: ,9-70- Pushto Tafseer: 
1306,وَٱلْمُؤْمِنُونَ وَٱلْمُؤْمِنَٰتُ بَعْضُهُمْ أَوْلِيَآءُ بَعْضٍۢ ۚ يَأْمُرُونَ بِٱلْمَعْرُوفِ وَيَنْهَوْنَ عَنِ ٱلْمُنكَرِ وَيُقِيمُونَ ٱلصَّلَوٰةَ وَيُؤْتُونَ ٱلزَّكَوٰةَ وَيُطِيعُونَ ٱللَّهَ وَرَسُولَهُۥٓ ۚ أُو۟لَٰٓئِكَ سَيَرْحَمُهُمُ ٱللَّهُ ۗ إِنَّ ٱللَّهَ عَزِيزٌ حَكِيمٌۭ,71,9,سُورَةُ التَّوۡبَةِ,At-Tawba,The Repentance,Medinan,9-71- Urdu Translation: ,9-71- Urdu Tafseer: ,9-71- English Translation: ,9-71- English Tafseer: ,9-71- Sindhi Translation: ,9-71- Sindhi Tafseer:,9-71- Hindi Translation: ,9-71- Hindi Tafseer: ,9-71- Pushto Translation: ,9-71- Pushto Tafseer: 
1307,وَعَدَ ٱللَّهُ ٱلْمُؤْمِنِينَ وَٱلْمُؤْمِنَٰتِ جَنَّٰتٍۢ تَجْرِى مِن تَحْتِهَا ٱلْأَنْهَٰرُ خَٰلِدِينَ فِيهَا وَمَسَٰكِنَ طَيِّبَةًۭ فِى جَنَّٰتِ عَدْنٍۢ ۚ وَرِضْوَٰنٌۭ مِّنَ ٱللَّهِ أَكْبَرُ ۚ ذَٰلِكَ هُوَ ٱلْفَوْزُ ٱلْعَظِيمُ,72,9,سُورَةُ التَّوۡبَةِ,At-Tawba,The Repentance,Medinan,9-72- Urdu Translation: ,9-72- Urdu Tafseer: ,9-72- English Translation: ,9-72- English Tafseer: ,9-72- Sindhi Translation: ,9-72- Sindhi Tafseer:,9-72- Hindi Translation: ,9-72- Hindi Tafseer: ,9-72- Pushto Translation: ,9-72- Pushto Tafseer: 
1308,يَٰٓأَيُّهَا ٱلنَّبِىُّ جَٰهِدِ ٱلْكُفَّارَ وَٱلْمُنَٰفِقِينَ وَٱغْلُظْ عَلَيْهِمْ ۚ وَمَأْوَىٰهُمْ جَهَنَّمُ ۖ وَبِئْسَ ٱلْمَصِيرُ,73,9,سُورَةُ التَّوۡبَةِ,At-Tawba,The Repentance,Medinan,9-73- Urdu Translation: ,9-73- Urdu Tafseer: ,9-73- English Translation: ,9-73- English Tafseer: ,9-73- Sindhi Translation: ,9-73- Sindhi Tafseer:,9-73- Hindi Translation: ,9-73- Hindi Tafseer: ,9-73- Pushto Translation: ,9-73- Pushto Tafseer: 
1309,يَحْلِفُونَ بِٱللَّهِ مَا قَالُوا۟ وَلَقَدْ قَالُوا۟ كَلِمَةَ ٱلْكُفْرِ وَكَفَرُوا۟ بَعْدَ إِسْلَٰمِهِمْ وَهَمُّوا۟ بِمَا لَمْ يَنَالُوا۟ ۚ وَمَا نَقَمُوٓا۟ إِلَّآ أَنْ أَغْنَىٰهُمُ ٱللَّهُ وَرَسُولُهُۥ مِن فَضْلِهِۦ ۚ فَإِن يَتُوبُوا۟ يَكُ خَيْرًۭا لَّهُمْ ۖ وَإِن يَتَوَلَّوْا۟ يُعَذِّبْهُمُ ٱللَّهُ عَذَابًا أَلِيمًۭا فِى ٱلدُّنْيَا وَٱلْءَاخِرَةِ ۚ وَمَا لَهُمْ فِى ٱلْأَرْضِ مِن وَلِىٍّۢ وَلَا نَصِيرٍۢ,74,9,سُورَةُ التَّوۡبَةِ,At-Tawba,The Repentance,Medinan,9-74- Urdu Translation: ,9-74- Urdu Tafseer: ,9-74- English Translation: ,9-74- English Tafseer: ,9-74- Sindhi Translation: ,9-74- Sindhi Tafseer:,9-74- Hindi Translation: ,9-74- Hindi Tafseer: ,9-74- Pushto Translation: ,9-74- Pushto Tafseer: 
1310,۞ وَمِنْهُم مَّنْ عَٰهَدَ ٱللَّهَ لَئِنْ ءَاتَىٰنَا مِن فَضْلِهِۦ لَنَصَّدَّقَنَّ وَلَنَكُونَنَّ مِنَ ٱلصَّٰلِحِينَ,75,9,سُورَةُ التَّوۡبَةِ,At-Tawba,The Repentance,Medinan,9-75- Urdu Translation: ,9-75- Urdu Tafseer: ,9-75- English Translation: ,9-75- English Tafseer: ,9-75- Sindhi Translation: ,9-75- Sindhi Tafseer:,9-75- Hindi Translation: ,9-75- Hindi Tafseer: ,9-75- Pushto Translation: ,9-75- Pushto Tafseer: 
1311,فَلَمَّآ ءَاتَىٰهُم مِّن فَضْلِهِۦ بَخِلُوا۟ بِهِۦ وَتَوَلَّوا۟ وَّهُم مُّعْرِضُونَ,76,9,سُورَةُ التَّوۡبَةِ,At-Tawba,The Repentance,Medinan,9-76- Urdu Translation: ,9-76- Urdu Tafseer: ,9-76- English Translation: ,9-76- English Tafseer: ,9-76- Sindhi Translation: ,9-76- Sindhi Tafseer:,9-76- Hindi Translation: ,9-76- Hindi Tafseer: ,9-76- Pushto Translation: ,9-76- Pushto Tafseer: 
1312,فَأَعْقَبَهُمْ نِفَاقًۭا فِى قُلُوبِهِمْ إِلَىٰ يَوْمِ يَلْقَوْنَهُۥ بِمَآ أَخْلَفُوا۟ ٱللَّهَ مَا وَعَدُوهُ وَبِمَا كَانُوا۟ يَكْذِبُونَ,77,9,سُورَةُ التَّوۡبَةِ,At-Tawba,The Repentance,Medinan,9-77- Urdu Translation: ,9-77- Urdu Tafseer: ,9-77- English Translation: ,9-77- English Tafseer: ,9-77- Sindhi Translation: ,9-77- Sindhi Tafseer:,9-77- Hindi Translation: ,9-77- Hindi Tafseer: ,9-77- Pushto Translation: ,9-77- Pushto Tafseer: 
1313,أَلَمْ يَعْلَمُوٓا۟ أَنَّ ٱللَّهَ يَعْلَمُ سِرَّهُمْ وَنَجْوَىٰهُمْ وَأَنَّ ٱللَّهَ عَلَّٰمُ ٱلْغُيُوبِ,78,9,سُورَةُ التَّوۡبَةِ,At-Tawba,The Repentance,Medinan,9-78- Urdu Translation: ,9-78- Urdu Tafseer: ,9-78- English Translation: ,9-78- English Tafseer: ,9-78- Sindhi Translation: ,9-78- Sindhi Tafseer:,9-78- Hindi Translation: ,9-78- Hindi Tafseer: ,9-78- Pushto Translation: ,9-78- Pushto Tafseer: 
1314,ٱلَّذِينَ يَلْمِزُونَ ٱلْمُطَّوِّعِينَ مِنَ ٱلْمُؤْمِنِينَ فِى ٱلصَّدَقَٰتِ وَٱلَّذِينَ لَا يَجِدُونَ إِلَّا جُهْدَهُمْ فَيَسْخَرُونَ مِنْهُمْ ۙ سَخِرَ ٱللَّهُ مِنْهُمْ وَلَهُمْ عَذَابٌ أَلِيمٌ,79,9,سُورَةُ التَّوۡبَةِ,At-Tawba,The Repentance,Medinan,9-79- Urdu Translation: ,9-79- Urdu Tafseer: ,9-79- English Translation: ,9-79- English Tafseer: ,9-79- Sindhi Translation: ,9-79- Sindhi Tafseer:,9-79- Hindi Translation: ,9-79- Hindi Tafseer: ,9-79- Pushto Translation: ,9-79- Pushto Tafseer: 
1315,ٱسْتَغْفِرْ لَهُمْ أَوْ لَا تَسْتَغْفِرْ لَهُمْ إِن تَسْتَغْفِرْ لَهُمْ سَبْعِينَ مَرَّةًۭ فَلَن يَغْفِرَ ٱللَّهُ لَهُمْ ۚ ذَٰلِكَ بِأَنَّهُمْ كَفَرُوا۟ بِٱللَّهِ وَرَسُولِهِۦ ۗ وَٱللَّهُ لَا يَهْدِى ٱلْقَوْمَ ٱلْفَٰسِقِينَ,80,9,سُورَةُ التَّوۡبَةِ,At-Tawba,The Repentance,Medinan,9-80- Urdu Translation: ,9-80- Urdu Tafseer: ,9-80- English Translation: ,9-80- English Tafseer: ,9-80- Sindhi Translation: ,9-80- Sindhi Tafseer:,9-80- Hindi Translation: ,9-80- Hindi Tafseer: ,9-80- Pushto Translation: ,9-80- Pushto Tafseer: 
1316,فَرِحَ ٱلْمُخَلَّفُونَ بِمَقْعَدِهِمْ خِلَٰفَ رَسُولِ ٱللَّهِ وَكَرِهُوٓا۟ أَن يُجَٰهِدُوا۟ بِأَمْوَٰلِهِمْ وَأَنفُسِهِمْ فِى سَبِيلِ ٱللَّهِ وَقَالُوا۟ لَا تَنفِرُوا۟ فِى ٱلْحَرِّ ۗ قُلْ نَارُ جَهَنَّمَ أَشَدُّ حَرًّۭا ۚ لَّوْ كَانُوا۟ يَفْقَهُونَ,81,9,سُورَةُ التَّوۡبَةِ,At-Tawba,The Repentance,Medinan,9-81- Urdu Translation: ,9-81- Urdu Tafseer: ,9-81- English Translation: ,9-81- English Tafseer: ,9-81- Sindhi Translation: ,9-81- Sindhi Tafseer:,9-81- Hindi Translation: ,9-81- Hindi Tafseer: ,9-81- Pushto Translation: ,9-81- Pushto Tafseer: 
1317,فَلْيَضْحَكُوا۟ قَلِيلًۭا وَلْيَبْكُوا۟ كَثِيرًۭا جَزَآءًۢ بِمَا كَانُوا۟ يَكْسِبُونَ,82,9,سُورَةُ التَّوۡبَةِ,At-Tawba,The Repentance,Medinan,9-82- Urdu Translation: ,9-82- Urdu Tafseer: ,9-82- English Translation: ,9-82- English Tafseer: ,9-82- Sindhi Translation: ,9-82- Sindhi Tafseer:,9-82- Hindi Translation: ,9-82- Hindi Tafseer: ,9-82- Pushto Translation: ,9-82- Pushto Tafseer: 
1318,فَإِن رَّجَعَكَ ٱللَّهُ إِلَىٰ طَآئِفَةٍۢ مِّنْهُمْ فَٱسْتَـْٔذَنُوكَ لِلْخُرُوجِ فَقُل لَّن تَخْرُجُوا۟ مَعِىَ أَبَدًۭا وَلَن تُقَٰتِلُوا۟ مَعِىَ عَدُوًّا ۖ إِنَّكُمْ رَضِيتُم بِٱلْقُعُودِ أَوَّلَ مَرَّةٍۢ فَٱقْعُدُوا۟ مَعَ ٱلْخَٰلِفِينَ,83,9,سُورَةُ التَّوۡبَةِ,At-Tawba,The Repentance,Medinan,9-83- Urdu Translation: ,9-83- Urdu Tafseer: ,9-83- English Translation: ,9-83- English Tafseer: ,9-83- Sindhi Translation: ,9-83- Sindhi Tafseer:,9-83- Hindi Translation: ,9-83- Hindi Tafseer: ,9-83- Pushto Translation: ,9-83- Pushto Tafseer: 
1319,وَلَا تُصَلِّ عَلَىٰٓ أَحَدٍۢ مِّنْهُم مَّاتَ أَبَدًۭا وَلَا تَقُمْ عَلَىٰ قَبْرِهِۦٓ ۖ إِنَّهُمْ كَفَرُوا۟ بِٱللَّهِ وَرَسُولِهِۦ وَمَاتُوا۟ وَهُمْ فَٰسِقُونَ,84,9,سُورَةُ التَّوۡبَةِ,At-Tawba,The Repentance,Medinan,9-84- Urdu Translation: ,9-84- Urdu Tafseer: ,9-84- English Translation: ,9-84- English Tafseer: ,9-84- Sindhi Translation: ,9-84- Sindhi Tafseer:,9-84- Hindi Translation: ,9-84- Hindi Tafseer: ,9-84- Pushto Translation: ,9-84- Pushto Tafseer: 
1320,وَلَا تُعْجِبْكَ أَمْوَٰلُهُمْ وَأَوْلَٰدُهُمْ ۚ إِنَّمَا يُرِيدُ ٱللَّهُ أَن يُعَذِّبَهُم بِهَا فِى ٱلدُّنْيَا وَتَزْهَقَ أَنفُسُهُمْ وَهُمْ كَٰفِرُونَ,85,9,سُورَةُ التَّوۡبَةِ,At-Tawba,The Repentance,Medinan,9-85- Urdu Translation: ,9-85- Urdu Tafseer: ,9-85- English Translation: ,9-85- English Tafseer: ,9-85- Sindhi Translation: ,9-85- Sindhi Tafseer:,9-85- Hindi Translation: ,9-85- Hindi Tafseer: ,9-85- Pushto Translation: ,9-85- Pushto Tafseer: 
